dataset_doi,link_status,pub_types,paper_ids,in_openalex,export_date
10.25346/S6/WFC3KG,no_publication_field,,,,2026-03-09
10.25346/S6/ZR9FRC,no_publication_field,,,,2026-03-09
10.25346/S6/VTFXSX,no_publication_field,,,,2026-03-09
10.25346/S6/GUKC75,linked,isbn,,False,2026-03-09
10.25346/S6/7JSO1V,linked,isbn,,False,2026-03-09
10.25346/S6/Q05CCQ,linked,isbn,,False,2026-03-09
10.25346/S6/9PSYUU,linked,doi,10.3847/1538-4357/aa67e6,True,2026-03-09
10.25346/S6/IOQWOX,linked,isbn,,False,2026-03-09
10.25346/S6/BZCNZ7,linked,isbn,,False,2026-03-09
10.25346/S6/N4W2WY,linked,isbn,,False,2026-03-09
10.25346/S6/JMH7UY,linked,isbn,,False,2026-03-09
10.25346/S6/JYGXZI,linked,isbn,,False,2026-03-09
10.25346/S6/I9ELTO,linked,isbn,,False,2026-03-09
10.25346/S6/VNLFFE,linked,isbn,,False,2026-03-09
10.25346/S6/TBBDFA,linked,isbn,,False,2026-03-09
10.25346/S6/YT63X4,linked,isbn,,False,2026-03-09
10.25346/S6/PALXSM,no_publication_field,,,,2026-03-09
10.25346/S6/KCYH75,linked,isbn,,False,2026-03-09
10.25346/S6/GQBYJZ,linked,isbn,,False,2026-03-09
10.25346/S6/0BCHCS,linked,isbn,,False,2026-03-09
10.25346/S6/ABWWAF,linked,isbn,,False,2026-03-09
10.25346/S6/DWM3US,linked,isbn,,False,2026-03-09
10.25346/S6/ZEPXWJ,linked,isbn,,False,2026-03-09
10.25346/S6/ZL2YRL,linked,isbn,,False,2026-03-09
10.25346/S6/ISAJWO,linked,isbn,,False,2026-03-09
10.25346/S6/V6VDXP,linked,isbn,,False,2026-03-09
10.25346/S6/OICJBJ,linked,isbn,,False,2026-03-09
10.25346/S6/CWQ5ET,linked,isbn,,False,2026-03-09
10.25346/S6/QBBRDP,linked,isbn,,False,2026-03-09
10.25346/S6/TVP6Q5,no_publication_field,,,,2026-03-09
10.25346/S6/NLFE8L,no_publication_field,,,,2026-03-09
10.25346/S6/BLIEHL,no_publication_field,,,,2026-03-09
10.25346/S6/LGEGOS,linked,isbn,,False,2026-03-09
10.25346/S6/BSQ8W7,linked,isbn,,False,2026-03-09
10.25346/S6/VBGULU,linked,isbn,,False,2026-03-09
10.25346/S6/T7CETN,linked,isbn,,False,2026-03-09
10.25346/S6/MPTFZ0,linked,isbn,,False,2026-03-09
10.25346/S6/SC503L,linked,isbn,,False,2026-03-09
10.25346/S6/UPAOFO,linked,isbn,,False,2026-03-09
10.25346/S6/QAQRXW,linked,isbn,,False,2026-03-09
10.25346/S6/8T68GO,linked,isbn,,False,2026-03-09
10.25346/S6/LXHDMJ,no_publication_field,,,,2026-03-09
10.25346/S6/VAIJTU,linked,isbn,,False,2026-03-09
10.25346/S6/HNLKXD,linked,isbn,,False,2026-03-09
10.25346/S6/N3XTZB,no_publication_field,,,,2026-03-09
10.25346/S6/IAEICJ,linked,isbn,,False,2026-03-09
10.25346/S6/6UO4WU,linked,isbn,,False,2026-03-09
10.25346/S6/TYVJZH,linked,isbn,,False,2026-03-09
10.25346/S6/IR5YCK,linked,isbn,,False,2026-03-09
10.25346/S6/QT89AC,linked,isbn,,False,2026-03-09
10.25346/S6/18O7IY,linked,isbn,,False,2026-03-09
10.25346/S6/CU7XQA,linked,isbn,,False,2026-03-09
10.25346/S6/LLROMT,linked,isbn,,False,2026-03-09
10.25346/S6/2USHR6,linked,isbn,,False,2026-03-09
10.25346/S6/JITAIY,linked,isbn,,False,2026-03-09
10.25346/S6/COE9EH,linked,isbn,,False,2026-03-09
10.25346/S6/C3TRD7,linked,isbn,,False,2026-03-09
10.25346/S6/DE95RT,no_publication_field,,,,2026-03-09
10.25346/S6/KEBT2O,no_publication_field,,,,2026-03-09
10.25346/S6/ZJKUAC,no_publication_field,,,,2026-03-09
10.25346/S6/WFJ7UC,no_publication_field,,,,2026-03-09
10.25346/S6/YNRV5G,no_publication_field,,,,2026-03-09
10.25346/S6/UXR2HJ,linked,isbn,,False,2026-03-09
10.25346/S6/WCGZ4A,linked,isbn,,False,2026-03-09
10.25346/S6/7XQ7GP,linked,isbn,,False,2026-03-09
10.25346/S6/0DUN8P,linked,isbn,,False,2026-03-09
10.25346/S6/AZEFZR,linked,isbn,,False,2026-03-09
10.25346/S6/TNFGQL,linked,isbn,,False,2026-03-09
10.25346/S6/FGTGUG,linked,isbn,,False,2026-03-09
10.25346/S6/U4OU6H,linked,isbn,,False,2026-03-09
10.25346/S6/5PXHHF,linked,isbn,,False,2026-03-09
10.25346/S6/KJZUOL,linked,isbn,,False,2026-03-09
10.25346/S6/6ISN9I,linked,isbn,,False,2026-03-09
10.25346/S6/F8JNO3,linked,isbn,,False,2026-03-09
10.25346/S6/NZG76J,linked,isbn,,False,2026-03-09
10.25346/S6/I8YUJY,no_publication_field,,,,2026-03-09
10.25346/S6/LOZHYJ,no_publication_field,,,,2026-03-09
10.25346/S6/LFS4H9,linked,doi,10.15184/aqy.2021.19,True,2026-03-09
10.25346/S6/8GK7OO,linked,isbn,,False,2026-03-09
10.25346/S6/N3RVLC,linked,doi,10.15184/aqy.2021.19,True,2026-03-09
10.25346/S6/HY1DNT,no_publication_field,,,,2026-03-09
10.25346/S6/IMXOOK,no_publication_field,,,,2026-03-09
10.25346/S6/QSIOG1,no_publication_field,,,,2026-03-09
10.25346/S6/AZMA0V,linked,isbn,,False,2026-03-09
10.25346/S6/3G3RL2,no_publication_field,,,,2026-03-09
10.25346/S6/Q2R5M0,no_publication_field,,,,2026-03-09
10.25346/S6/FEXJOU,no_publication_field,,,,2026-03-09
10.25346/S6/9BIIIH,no_publication_field,,,,2026-03-09
10.25346/S6/4OSPZR,linked,isbn,,False,2026-03-09
10.25346/S6/6VHDXS,no_publication_field,,,,2026-03-09
10.25346/S6/JBWIXY,no_publication_field,,,,2026-03-09
10.25346/S6/FS9TDL,no_publication_field,,,,2026-03-09
10.25346/S6/AU1IZ2,no_publication_field,,,,2026-03-09
10.25346/S6/3PVHFI,no_publication_field,,,,2026-03-09
10.25346/S6/F3YFAS,no_publication_field,,,,2026-03-09
10.25346/S6/J5HQNS,no_publication_field,,,,2026-03-09
10.25346/S6/2KUD7N,no_publication_field,,,,2026-03-09
10.25346/S6/FJ7YU7,no_publication_field,,,,2026-03-09
10.25346/S6/OVJUW8,no_publication_field,,,,2026-03-09
10.25346/S6/EB4ULL,no_publication_field,,,,2026-03-09
10.25346/S6/FMXRS4,no_publication_field,,,,2026-03-09
10.25346/S6/AKZA0X,no_publication_field,,,,2026-03-09
10.25346/S6/UMGDRS,no_publication_field,,,,2026-03-09
10.25346/S6/XMSTGI,no_publication_field,,,,2026-03-09
10.25346/S6/HCSJIN,no_publication_field,,,,2026-03-09
10.25346/S6/NAUEAN,no_publication_field,,,,2026-03-09
10.25346/S6/RMZZ0I,no_publication_field,,,,2026-03-09
10.25346/S6/1B33FN,linked,isbn,,False,2026-03-09
10.25346/S6/4UTX25,no_publication_field,,,,2026-03-09
10.25346/S6/B5GOLX,no_publication_field,,,,2026-03-09
10.25346/S6/ZD8WTW,no_publication_field,,,,2026-03-09
10.25346/S6/GOJ60A,no_publication_field,,,,2026-03-09
10.25346/S6/VPT8DB,no_publication_field,,,,2026-03-09
10.25346/S6/TWZXSO,no_publication_field,,,,2026-03-09
10.25346/S6/ACFM1U,no_publication_field,,,,2026-03-09
10.25346/S6/ZGCT7K,no_publication_field,,,,2026-03-09
10.25346/S6/VIDNKU,no_publication_field,,,,2026-03-09
10.25346/S6/KZKMWA,no_publication_field,,,,2026-03-09
10.25346/S6/SRPHPT,no_publication_field,,,,2026-03-09
10.25346/S6/N6ZNY5,no_publication_field,,,,2026-03-09
10.25346/S6/NOLLWC,no_publication_field,,,,2026-03-09
10.25346/S6/ENS1EA,no_publication_field,,,,2026-03-09
10.25346/S6/0MZTSA,no_publication_field,,,,2026-03-09
10.25346/S6/DYA9EO,no_publication_field,,,,2026-03-09
10.25346/S6/FWKMWL,no_publication_field,,,,2026-03-09
10.25346/S6/IHQMVY,no_publication_field,,,,2026-03-09
10.25346/S6/JEGFZ4,no_publication_field,,,,2026-03-09
10.25346/S6/1GAVDI,no_publication_field,,,,2026-03-09
10.25346/S6/UNFGTY,no_publication_field,,,,2026-03-09
10.25346/S6/YJROSQ,no_publication_field,,,,2026-03-09
10.25346/S6/SBMD53,no_publication_field,,,,2026-03-09
10.25346/S6/Q5D6CW,no_publication_field,,,,2026-03-09
10.25346/S6/0AZ1HY,no_publication_field,,,,2026-03-09
10.25346/S6/4JD9KR,no_publication_field,,,,2026-03-09
10.25346/S6/GOQGUP,no_publication_field,,,,2026-03-09
10.25346/S6/VYYD2E,no_publication_field,,,,2026-03-09
10.25346/S6/YPSXEG,no_publication_field,,,,2026-03-09
10.25346/S6/I6EGIB,no_publication_field,,,,2026-03-09
10.25346/S6/KFN7UD,no_publication_field,,,,2026-03-09
10.25346/S6/DX1E22,no_publication_field,,,,2026-03-09
10.25346/S6/LFAVXU,no_publication_field,,,,2026-03-09
10.25346/S6/COVSJZ,no_publication_field,,,,2026-03-09
10.25346/S6/AOYYT6,linked,isbn,,False,2026-03-09
10.25346/S6/X5XI7F,linked,isbn,,False,2026-03-09
10.25346/S6/SLP8OS,linked,isbn,,False,2026-03-09
10.25346/S6/9LD0ZY,linked,isbn,,False,2026-03-09
10.25346/S6/AGIPTI,linked,isbn,,False,2026-03-09
10.25346/S6/VTAT0D,linked,isbn,,False,2026-03-09
10.25346/S6/OOTNPS,linked,isbn,,False,2026-03-09
10.25346/S6/CUQX46,linked,isbn,,False,2026-03-09
10.25346/S6/DJYV9W,no_publication_field,,,,2026-03-09
10.25346/S6/RANIGB,linked,isbn,,False,2026-03-09
10.25346/S6/3TDEVJ,linked,isbn,,False,2026-03-09
10.25346/S6/LCGG8Q,linked,isbn,,False,2026-03-09
10.25346/S6/KEXTI9,linked,isbn,,False,2026-03-09
10.25346/S6/5OYU8Y,no_publication_field,,,,2026-03-09
10.25346/S6/HRQDKY,no_publication_field,,,,2026-03-09
10.25346/S6/PSJG8V,no_publication_field,,,,2026-03-09
10.25346/S6/D5QPUA,no_publication_field,,,,2026-03-09
10.25346/S6/6WMNQU,no_publication_field,,,,2026-03-09
10.25346/S6/6I8JL1,no_publication_field,,,,2026-03-09
10.25346/S6/C6CSOZ,no_publication_field,,,,2026-03-09
10.25346/S6/QSRQED,no_publication_field,,,,2026-03-09
10.25346/S6/N3CMHL,no_publication_field,,,,2026-03-09
10.25346/S6/A59TED,no_publication_field,,,,2026-03-09
10.25346/S6/SLQGVM,no_publication_field,,,,2026-03-09
10.25346/S6/P0WOZR,no_publication_field,,,,2026-03-09
10.25346/S6/5O4LGA,no_publication_field,,,,2026-03-09
10.25346/S6/8DCOWV,no_publication_field,,,,2026-03-09
10.25346/S6/O1ZAZH,linked,doi,10.1029/2021SW002774,True,2026-03-09
10.25346/S6/CEOAUX,no_publication_field,,,,2026-03-09
10.25346/S6/YQQ17B,no_publication_field,,,,2026-03-09
10.25346/S6/NQTK6L,linked,isbn,,False,2026-03-09
10.25346/S6/H4VH7E,no_publication_field,,,,2026-03-09
10.25346/S6/XO8E8A,no_publication_field,,,,2026-03-09
10.25346/S6/YIWAG5,no_publication_field,,,,2026-03-09
10.25346/S6/KMIJT4,no_publication_field,,,,2026-03-09
10.25346/S6/JOOUYM,no_publication_field,,,,2026-03-09
10.25346/S6/WGRIRC,no_publication_field,,,,2026-03-09
10.25346/S6/RTO7DJ,no_publication_field,,,,2026-03-09
10.25346/S6/CQAPOS,no_publication_field,,,,2026-03-09
10.25346/S6/IHQRO3,no_publication_field,,,,2026-03-09
10.25346/S6/CQP9FE,no_publication_field,,,,2026-03-09
10.25346/S6/NNGECQ,no_publication_field,,,,2026-03-09
10.25346/S6/UOD7EE,no_publication_field,,,,2026-03-09
10.25346/S6/BWEIVF,linked,isbn,,False,2026-03-09
10.25346/S6/UKMYLD,no_publication_field,,,,2026-03-09
10.25346/S6/XS2AQD,no_publication_field,,,,2026-03-09
10.25346/S6/63QLUY,no_publication_field,,,,2026-03-09
10.25346/S6/YWUXPD,no_publication_field,,,,2026-03-09
10.25346/S6/IL2VVQ,no_publication_field,,,,2026-03-09
10.25346/S6/YLXABH,no_publication_field,,,,2026-03-09
10.25346/S6/L2E9IK,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/FS5FOQ,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/I1EBKJ,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/HFZYYX,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/BO6GBC,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/XJHFYD,no_publication_field,,,,2026-03-09
10.25346/S6/YLECJN,linked,doi,10.1017/aaq.2024.24,True,2026-03-09
10.25346/S6/NQRX4Z,no_publication_field,,,,2026-03-09
10.25346/S6/5NAT1D,linked,isbn,,False,2026-03-09
10.25346/S6/2PYZIP,linked,isbn,,False,2026-03-09
10.25346/S6/UHQBNA,no_publication_field,,,,2026-03-09
10.25346/S6/BGDJX2,linked,isbn,,False,2026-03-09
10.25346/S6/BSIDAA,no_publication_field,,,,2026-03-09
10.25346/S6/UEPJMA,no_publication_field,,,,2026-03-09
10.25346/S6/CKD1DS,no_publication_field,,,,2026-03-09
10.25346/S6/R6FH5R,no_publication_field,,,,2026-03-09
10.25346/S6/7HGUO3,no_publication_field,,,,2026-03-09
10.25346/S6/CXO9PD,no_publication_field,,,,2026-03-09
10.25346/S6/VJAPJG,no_publication_field,,,,2026-03-09
10.25346/S6/QWNOGO,no_publication_field,,,,2026-03-09
10.25346/S6/TBGGID,no_publication_field,,,,2026-03-09
10.25346/S6/U3TALM,no_publication_field,,,,2026-03-09
10.25346/S6/GCWYHP,no_publication_field,,,,2026-03-09
10.25346/S6/9ORFTQ,no_publication_field,,,,2026-03-09
10.25346/S6/OBHVMJ,no_publication_field,,,,2026-03-09
10.25346/S6/1RKWAT,no_publication_field,,,,2026-03-09
10.25346/S6/PL5KYA,no_publication_field,,,,2026-03-09
10.25346/S6/AS5DZ1,linked,isbn,,False,2026-03-09
10.25346/S6/MNEADD,no_publication_field,,,,2026-03-09
10.25346/S6/ROUCPY,linked,isbn,,False,2026-03-09
10.25346/S6/CYFVLB,no_publication_field,,,,2026-03-09
10.25346/S6/WFBQZT,linked,isbn,,False,2026-03-09
10.25346/S6/OFEXKT,no_publication_field,,,,2026-03-09
10.25346/S6/STY5J1,linked,isbn,,False,2026-03-09
10.25346/S6/CCTFAS,linked,isbn,,False,2026-03-09
10.25346/S6/XP6OSO,linked,isbn,,False,2026-03-09
10.25346/S6/MEENPX,linked,isbn,,False,2026-03-09
10.25346/S6/0FTEZH,no_publication_field,,,,2026-03-09
10.25346/S6/WAZVMZ,linked,isbn,,False,2026-03-09
10.25346/S6/HV4WZJ,linked,isbn,,False,2026-03-09
10.25346/S6/UYDZLO,linked,isbn,,False,2026-03-09
10.25346/S6/RLGBE1,linked,isbn,,False,2026-03-09
10.25346/S6/IJ7MG9,linked,isbn,,False,2026-03-09
10.25346/S6/RNUQPN,linked,isbn,,False,2026-03-09
10.25346/S6/WF76DI,linked,isbn,,False,2026-03-09
10.25346/S6/VUJ2K4,linked,isbn,,False,2026-03-09
10.25346/S6/TYTRQR,linked,isbn,,False,2026-03-09
10.25346/S6/ZTWCK6,linked,isbn,,False,2026-03-09
10.25346/S6/J4SWYR,linked,isbn,,False,2026-03-09
10.25346/S6/EPRKBD,linked,isbn,,False,2026-03-09
10.25346/S6/JN7GRL,linked,isbn,,False,2026-03-09
10.25346/S6/S0V2FO,linked,isbn,,False,2026-03-09
10.25346/S6/B7CDIJ,linked,isbn,,False,2026-03-09
10.25346/S6/MRPSG4,linked,isbn,,False,2026-03-09
10.25346/S6/TUMDNE,linked,isbn,,False,2026-03-09
10.25346/S6/LCSQ65,linked,isbn,,False,2026-03-09
10.25346/S6/EWUCCI,linked,isbn,,False,2026-03-09
10.25346/S6/FVWWDJ,no_publication_field,,,,2026-03-09
10.25346/S6/XKBJNA,no_publication_field,,,,2026-03-09
10.25346/S6/JYWFSW,linked,isbn,,False,2026-03-09
10.25346/S6/7YBSJK,no_publication_field,,,,2026-03-09
10.25346/S6/J8VLAJ,no_publication_field,,,,2026-03-09
10.25346/S6/SDAVQ9,no_publication_field,,,,2026-03-09
10.25346/S6/Z36KRR,no_publication_field,,,,2026-03-09
10.25346/S6/I4MAUU,no_publication_field,,,,2026-03-09
10.25346/S6/Z7J0RC,no_publication_field,,,,2026-03-09
10.25346/S6/0Z0BVE,no_publication_field,,,,2026-03-09
10.25346/S6/BKFVKM,no_publication_field,,,,2026-03-09
10.25346/S6/GN2MDM,no_publication_field,,,,2026-03-09
10.25346/S6/Y4F9LJ,linked,doi,10.34948/N36P48,False,2026-03-09
10.25346/S6/QVPH29,no_publication_field,,,,2026-03-09
10.25346/S6/FENPZP,no_publication_field,,,,2026-03-09
10.25346/S6/QQCFKY,no_publication_field,,,,2026-03-09
10.25346/S6/EHMB3O,no_publication_field,,,,2026-03-09
10.25346/S6/VODY5G,no_publication_field,,,,2026-03-09
10.25346/S6/IV5YPW,no_publication_field,,,,2026-03-09
10.25346/S6/EVWWLG,no_publication_field,,,,2026-03-09
10.25346/S6/UKL1KC,no_publication_field,,,,2026-03-09
10.25346/S6/SXMNDW,no_publication_field,,,,2026-03-09
10.25346/S6/GKSJCU,no_publication_field,,,,2026-03-09
10.25346/S6/U9WFPD,linked,doi,10.1029/2020JA028707,True,2026-03-09
10.25346/S6/VNSKRP,no_publication_field,,,,2026-03-09
10.25346/S6/EBZCAD,linked,doi,https://doi.org/10.1029/2024GL112061,False,2026-03-09
10.25346/S6/VUOV3C,no_publication_field,,,,2026-03-09
10.25346/S6/KQEJON,no_publication_field,,,,2026-03-09
10.25346/S6/IAXY3G,no_publication_field,,,,2026-03-09
10.25346/S6/ENLMWL,linked,pmid,35047847,True,2026-03-09
10.25346/S6/R3JVO2,linked,pmid,31562185,True,2026-03-09
10.25346/S6/GJ74AR,no_publication_field,,,,2026-03-09
10.25346/S6/B5LBFD,no_publication_field,,,,2026-03-09
10.25346/S6/FHKLVZ,no_publication_field,,,,2026-03-09
10.25346/S6/ZEHPJ0,no_publication_field,,,,2026-03-09
10.25346/S6CEYIU0,no_publication_field,,,,2026-03-09
10.25346/S6/B05T1T,linked,doi,10.1029/2021GL097620,True,2026-03-09
10.25346/S6/TQT2ZP,no_publication_field,,,,2026-03-09
10.25346/S6R7CHCI,no_publication_field,,,,2026-03-09
10.25346/S6/EZYHS4,no_publication_field,,,,2026-03-09
10.25346/S6/IFQMKH,linked,isbn,,False,2026-03-09
10.25346/S65RWE6N,no_publication_field,,,,2026-03-09
10.25346/S627C42Q,no_publication_field,,,,2026-03-09
10.25346/S6ACNIG3,no_publication_field,,,,2026-03-09
10.25346/S6EKOHES,no_publication_field,,,,2026-03-09
10.25346/S6Q2RK6R,no_publication_field,,,,2026-03-09
10.25346/S6EANRLV,no_publication_field,,,,2026-03-09
10.25346/S6PNKJPC,no_publication_field,,,,2026-03-09
10.25346/S6/SLC2DG,no_publication_field,,,,2026-03-09
10.25346/S6/YO15ON,no_publication_field,,,,2026-03-09
10.25346/S6/SF4AFW,no_publication_field,,,,2026-03-09
10.25346/S6/B89KXF,no_publication_field,,,,2026-03-09
10.25346/S6/SJGRKY,no_publication_field,,,,2026-03-09
10.25346/S6/MQRHJE,no_publication_field,,,,2026-03-09
10.25346/S6/PSP5N0,no_publication_field,,,,2026-03-09
10.25346/S6IACFGH,no_publication_field,,,,2026-03-09
10.25346/S6/FFD4YD,no_publication_field,,,,2026-03-09
10.25346/S6P8EMQJ,no_publication_field,,,,2026-03-09
10.25346/S6IQQ5ZZ,linked,doi,10.1103/qc7s-scbk,True,2026-03-09
10.25346/S6GLLDTH,no_publication_field,,,,2026-03-09
10.25346/S6/TA1CUP,no_publication_field,,,,2026-03-09
10.25346/S6JN5WII,no_publication_field,,,,2026-03-09
10.25346/S6/EABYOD,no_publication_field,,,,2026-03-09
10.25346/S6/LEKHRZ,no_publication_field,,,,2026-03-09
10.25346/S6/E3NVW2,no_publication_field,,,,2026-03-09
10.25346/S6/ZSW7UN,no_publication_field,,,,2026-03-09
10.7910/DVN/9KLJZN,restricted_or_error,,,,2026-03-09
10.7910/DVN/21GWTA,restricted_or_error,,,,2026-03-09
10.7910/DVN/6WHGHW,restricted_or_error,,,,2026-03-09
10.7910/DVN/QNSTVW,restricted_or_error,,,,2026-03-09
10.7910/DVN/TWNDDB,restricted_or_error,,,,2026-03-09
10.7910/DVN/TKOU5T,restricted_or_error,,,,2026-03-09
10.7910/DVN/WVEIHH,restricted_or_error,,,,2026-03-09
10.7910/DVN/U5FWYL,restricted_or_error,,,,2026-03-09
10.7910/DVN/1OEUEH,restricted_or_error,,,,2026-03-09
10.7910/DVN/1IKEZ3,restricted_or_error,,,,2026-03-09
10.7910/DVN/1A3OYF,restricted_or_error,,,,2026-03-09
10.25346/S6/LVRRAE,linked,doi,10.1109/MILCOM61039.2024.10773837,False,2026-03-09
10.7910/DVN/2II1OD,restricted_or_error,,,,2026-03-09
10.7910/DVN/2GYNM5,restricted_or_error,,,,2026-03-09
10.7910/DVN/2RRNDD,restricted_or_error,,,,2026-03-09
10.7910/DVN/DSQOEX,restricted_or_error,,,,2026-03-09
10.7910/DVN/DVEA2E,restricted_or_error,,,,2026-03-09
10.7910/DVN/DHH1FK,restricted_or_error,,,,2026-03-09
10.7910/DVN/EHTP37,restricted_or_error,,,,2026-03-09
10.7910/DVN/EQBIAJ,restricted_or_error,,,,2026-03-09
10.7910/DVN/EVUAF4,restricted_or_error,,,,2026-03-09
10.7910/DVN/EOGGSO,restricted_or_error,,,,2026-03-09
10.7910/DVN/EVJLZL,restricted_or_error,,,,2026-03-09
10.7910/DVN/ERN2QH,restricted_or_error,,,,2026-03-09
10.7910/DVN/F4HA1C,restricted_or_error,,,,2026-03-09
10.7910/DVN/F8EQSZ,restricted_or_error,,,,2026-03-09
10.7910/DVN/FFMHON,restricted_or_error,,,,2026-03-09
10.7910/DVN/FG2UNN,restricted_or_error,,,,2026-03-09
10.7910/DVN/FHNKUZ,restricted_or_error,,,,2026-03-09
10.7910/DVN/FGIG14,restricted_or_error,,,,2026-03-09
10.7910/DVN/FI9PD2,restricted_or_error,,,,2026-03-09
10.7910/DVN/FWJTJX,restricted_or_error,,,,2026-03-09
10.7910/DVN/FYO1FU,restricted_or_error,,,,2026-03-09
10.7910/DVN/GCVW7M,restricted_or_error,,,,2026-03-09
10.7910/DVN/GENFOW,restricted_or_error,,,,2026-03-09
10.7910/DVN/G5K9LH,restricted_or_error,,,,2026-03-09
10.7910/DVN/GKE1FD,restricted_or_error,,,,2026-03-09
10.7910/DVN/HEOABA,restricted_or_error,,,,2026-03-09
10.25346/S6EECGIX,no_publication_field,,,,2026-03-09
10.7910/DVN/H7QIJT,restricted_or_error,,,,2026-03-09
10.7910/DVN/HMIUTC,restricted_or_error,,,,2026-03-09
10.7910/DVN/HNCZUR,restricted_or_error,,,,2026-03-09
10.7910/DVN/HPSPKG,restricted_or_error,,,,2026-03-09
10.7910/DVN/HOEQ4Y,restricted_or_error,,,,2026-03-09
10.7910/DVN/IAZMJZ,restricted_or_error,,,,2026-03-09
10.7910/DVN/I90JEO,restricted_or_error,,,,2026-03-09
10.7910/DVN/IOGGNA,restricted_or_error,,,,2026-03-09
10.7910/DVN/IFQGXE,restricted_or_error,,,,2026-03-09
