Description of Goods and Services being Recharged,Quantity,Approved Rate
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2248.97  <> 4 62077 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.08 2248.97   <> Total          $2,248.97 $2,248.97",,
AWS CLOUD SERVICES,1,4.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4.06  <> 4 69312 403945 CM 03 3270 AWS RESEAR AWS CLOUD SERVICES 2025.08 4.06   <> Total          $4.06 $4.06,,
AWS CLOUD SERVICES,1,2442.1
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2442.10  <> 4 20107 433630 2C 03 3270  287WEB AWS CLOUD SERVICES 2025.08 2442.10   <> Total          $2,442.10 $2,442.10",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.02  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.08 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,6.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  6.22  <> 4 66127 722160  03 3270   AWS CLOUD SERVICES 2025.08 6.22   <> Total          $6.22 $6.22,,
AWS CLOUD SERVICES,1,12.53
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  12.53  <> 4 18797 447711 TL 03 3270   AWS CLOUD SERVICES 2025.08 12.53   <> Total          $12.53 $12.53,,
AWS CLOUD SERVICES,1,5081.81
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  5081.81  <> 4 19900 727601 DP 03 3270  SYSADM AWS CLOUD SERVICES 2025.08 5081.81   <> Total          $5,081.81 $5,081.81",,
AWS CLOUD SERVICES,1,530.85
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  530.85  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.08 530.85   <> Total          $530.85 $530.85,,
AWS CLOUD SERVICES,1,2.74
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.74  <> 4 66125 722280  03 3270   AWS CLOUD SERVICES 2025.08 2.74   <> Total          $2.74 $2.74,,
AWS CLOUD SERVICES,1,1554.7
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1554.70  <> 4 17341 441404 AC 03 3270   AWS CLOUD SERVICES 2025.08 1554.70   <> Total          $1,554.70 $1,554.70",,
AWS CLOUD SERVICES,1,114.75
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  114.75  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.08 114.75   <> Total          $114.75 $114.75,,
AWS CLOUD SERVICES,1,81.48
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  81.48  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.08 81.48   <> Total          $81.48 $81.48,,
AWS CLOUD SERVICES,1,139.11
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  139.11  <> 4 62243 401107 2Y 03 3270   AWS CLOUD SERVICES 2025.08 139.11   <> Total          $139.11 $139.11,,
AWS CLOUD SERVICES,1,62.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  62.60  <> 4 31039 441490 CS 03 3270   AWS CLOUD SERVICES 2025.08 62.60   <> Total          $62.60 $62.60,,
AWS CLOUD SERVICES,1,223.93
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  223.93  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 223.93   <> Total          $223.93 $223.93,,
AWS CLOUD SERVICES,1,1.57
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1.57  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.08 1.57   <> Total          $1.57 $1.57,,
AWS CLOUD SERVICES,1,18.91
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  18.91  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.08 18.91   <> Total          $18.91 $18.91,,
AWS CLOUD SERVICES,1,46.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  46.06  <> 4 18082 403933 2D 03 3270 DSG AWSVHA AWS CLOUD SERVICES 2025.08 46.06   <> Total          $46.06 $46.06,,
AWS CLOUD SERVICES,1,12.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  12.10  <> 4 19900 727601 SY 03 3270  MPSUSE AWS CLOUD SERVICES 2025.08 12.10   <> Total          $12.10 $12.10,,
AWS CLOUD SERVICES,1,236.59
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  236.59  <> 4 61070 400915 CS 03 3270 4.8.24 AWS-SE AWS CLOUD SERVICES 2025.08 236.59   <> Total          $236.59 $236.59,,
AWS CLOUD SERVICES,1,185.79
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  185.79  <> 4 18082 403933 2D 03 3270 DSG AWSCPL AWS CLOUD SERVICES 2025.08 185.79   <> Total          $185.79 $185.79,,
AWS CLOUD SERVICES,1,2.26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.26  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.08 2.26   <> Total          $2.26 $2.26,,
AWS CLOUD SERVICES,1,1436.62
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1436.62  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.08 1436.62   <> Total          $1,436.62 $1,436.62",,
AWS CLOUD SERVICES,1,25.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  25.15  <> 4 05397 660174  03 3270  ORIS AWS CLOUD SERVICES 2025.08 25.15   <> Total          $25.15 $25.15,,
AWS CLOUD SERVICES,1,0.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.89  <> 4 31854 441450 VA 03 3270   AWS CLOUD SERVICES 2025.08 0.89   <> Total          $0.89 $0.89,,
AWS CLOUD SERVICES,1,292.62
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  292.62  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 292.62   <> Total          $292.62 $292.62,,
AWS CLOUD SERVICES,1,2.29
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.29  <> 4 61070 400959 Z2 03 3270  AWS AWS CLOUD SERVICES 2025.08 2.29   <> Total          $2.29 $2.29,,
AWS CLOUD SERVICES,1,473.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  473.09  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 473.09   <> Total          $473.09 $473.09,,
AWS CLOUD SERVICES,1,3.27
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.27  <> 4 19900 727601 FS 03 3270  HPTRSY AWS CLOUD SERVICES 2025.08 3.27   <> Total          $3.27 $3.27,,
AWS CLOUD SERVICES,1,193.31
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  193.31  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.08 193.31   <> Total          $193.31 $193.31,,
AWS CLOUD SERVICES,1,101.68
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  101.68  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.08 101.68   <> Total          $101.68 $101.68,,
AWS CLOUD SERVICES,1,9.19
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  9.19  <> 4 66080 727601 M1 03 3270  MFSSCX AWS CLOUD SERVICES 2025.08 9.19   <> Total          $9.19 $9.19,,
AWS CLOUD SERVICES,1,130.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  130.89  <> 4 19900 446468 2A 03 3270   AWS CLOUD SERVICES 2025.08 130.89   <> Total          $130.89 $130.89,,
AWS CLOUD SERVICES,1,95.34
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  95.34  <> 4 66080 721275 A2 03 3270  SFORCE AWS CLOUD SERVICES 2025.08 95.34   <> Total          $95.34 $95.34,,
AWS CLOUD SERVICES,1,608.88
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  608.88  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.08 608.88   <> Total          $608.88 $608.88,,
AWS CLOUD SERVICES,1,176.16
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  176.16  <> 4 66080 721271 N5 03 3270   AWS CLOUD SERVICES 2025.08 176.16   <> Total          $176.16 $176.16,,
AWS CLOUD SERVICES,1,300.05
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  300.05  <> 4 61070 400959 N1 03 3270  AWS AWS CLOUD SERVICES 2025.08 300.05   <> Total          $300.05 $300.05,,
AWS CLOUD SERVICES,1,0.11
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.11  <> 4 20107 433630 2C 03 3270  131 AWS CLOUD SERVICES 2025.08 0.11   <> Total          $0.11 $0.11,,
AWS CLOUD SERVICES,1,235.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  235.13  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.08 235.13   <> Total          $235.13 $235.13,,
AWS CLOUD SERVICES,1,32.42
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  32.42  <> 4 09549 442521 MD 03 3270   AWS CLOUD SERVICES 2025.08 32.42   <> Total          $32.42 $32.42,,
AWS CLOUD SERVICES,1,1503.01
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1503.01  <> 4 29515 441437 DG 03 3270  AWS AWS CLOUD SERVICES 2025.08 1503.01   <> Total          $1,503.01 $1,503.01",,
AWS CLOUD SERVICES,1,0.44
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.44  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.08 0.44   <> Total          $0.44 $0.44,,
AWS CLOUD SERVICES,1,827.86
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  827.86  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.08 827.86   <> Total          $827.86 $827.86,,
AWS CLOUD SERVICES,1,216.73
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  216.73  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.08 216.73   <> Total          $216.73 $216.73,,
AWS CLOUD SERVICES,1,1061.97
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1061.97  <> 4 66080 721279 G1 03 3270  SSCORE AWS CLOUD SERVICES 2025.08 1061.97   <> Total          $1,061.97 $1,061.97",,
AWS CLOUD SERVICES,1,220.32
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  220.32  <> 4 19900 437782  05 3270  AWS AWS CLOUD SERVICES 2025.08 220.32   <> Total          $220.32 $220.32,,
AWS CLOUD SERVICES,1,872.91
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  872.91  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.08 872.91   <> Total          $872.91 $872.91,,
AWS CLOUD SERVICES,1,870.58
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  870.58  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.08 870.58   <> Total          $870.58 $870.58,,
AWS CLOUD SERVICES,1,3.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.06  <> 4 20177 609200 CL 03 3270   AWS CLOUD SERVICES 2025.08 3.06   <> Total          $3.06 $3.06,,
AWS CLOUD SERVICES,1,732.77
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  732.77  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.08 732.77   <> Total          $732.77 $732.77,,
AWS CLOUD SERVICES,1,20.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  20.89  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.08 20.89   <> Total          $20.89 $20.89,,
AWS CLOUD SERVICES,1,6406
