Description of Goods and Services being Recharged,Quantity,Approved Rate
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  966.62  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.09 966.62   <> Total          $966.62 $966.62,,
AWS CLOUD SERVICES,1,65.98
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  65.98  <> 4 29358 448000 MK 03 3270  METHOD AWS CLOUD SERVICES 2025.09 65.98   <> Total          $65.98 $65.98,,
AWS CLOUD SERVICES,1,51.79
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  51.79  <> 4 19902 446469 LF 03 3270   AWS CLOUD SERVICES 2025.09 51.79   <> Total          $51.79 $51.79,,
AWS CLOUD SERVICES,1,66.3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  66.30  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.09 66.30   <> Total          $66.30 $66.30,,
AWS CLOUD SERVICES,1,4.27
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  4.27  <> 4 75544 447641  03 3270 AW13 AWS AWS CLOUD SERVICES 2025.09 4.27   <> Total          $4.27 $4.27,,
AWS CLOUD SERVICES,1,889.91
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  889.91  <> 4 19900 727609 IC 03 3270  SBDBSR AWS CLOUD SERVICES 2025.09 889.91   <> Total          $889.91 $889.91,,
AWS CLOUD SERVICES,1,0.04
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.04  <> 4 69087 443841 CJ 08 3270  DATAX AWS CLOUD SERVICES 2025.09 0.04   <> Total          $0.04 $0.04,,
AWS CLOUD SERVICES,1,23.91
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  23.91  <> 4 20109 400945 DA 03 3270   AWS CLOUD SERVICES 2025.09 23.91   <> Total          $23.91 $23.91,,
AWS CLOUD SERVICES,1,10.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  10.69  <> 4 69996 435970 J1 03 3270   AWS CLOUD SERVICES 2025.09 10.69   <> Total          $10.69 $10.69,,
AWS CLOUD SERVICES,1,2.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2.51  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.09 2.51   <> Total          $2.51 $2.51,,
AWS CLOUD SERVICES,1,221.55
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  221.55  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.09 221.55   <> Total          $221.55 $221.55,,
AWS CLOUD SERVICES,1,0.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.03  <> 4 69460 403945 CS 03 3270 AMTURK RESEAR AWS CLOUD SERVICES 2025.09 0.03   <> Total          $0.03 $0.03,,
AWS CLOUD SERVICES,1,5.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  5.69  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.09 5.69   <> Total          $5.69 $5.69,,
AWS CLOUD SERVICES,1,57.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  57.15  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.09 57.15   <> Total          $57.15 $57.15,,
AWS CLOUD SERVICES,1,171.58
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  171.58  <> 4 18082 403933 2D 03 3270 DSG AWSHVC AWS CLOUD SERVICES 2025.09 171.58   <> Total          $171.58 $171.58,,
AWS CLOUD SERVICES,1,1162.68
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1162.68  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.09 1162.68   <> Total          $1,162.68 $1,162.68",,
AWS CLOUD SERVICES,1,1.88
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1.88  <> 4 18125 446465 4A 03 3270 AWS ITSVCS AWS CLOUD SERVICES 2025.09 1.88   <> Total          $1.88 $1.88,,
AWS CLOUD SERVICES,1,149.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  149.96  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.09 149.96   <> Total          $149.96 $149.96,,
AWS CLOUD SERVICES,1,5160.75
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  5160.75  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.09 5160.75   <> Total          $5,160.75 $5,160.75",,
AWS CLOUD SERVICES,1,0.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.03  <> 4 85188 442521 SM 03 3270  IOBT AWS CLOUD SERVICES 2025.09 0.03   <> Total          $0.03 $0.03,,
AWS CLOUD SERVICES,1,743.56
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  743.56  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.09 743.56   <> Total          $743.56 $743.56,,
AWS CLOUD SERVICES,1,0.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.03  <> 4 70000 760416  03 3270  3 AWS CLOUD SERVICES 2025.09 0.03   <> Total          $0.03 $0.03,,
AWS CLOUD SERVICES,1,1000.58
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1000.58  <> 4 19900 605000 DA 03 3270   AWS CLOUD SERVICES 2025.09 1000.58   <> Total          $1,000.58 $1,000.58",,
AWS CLOUD SERVICES,1,32.47
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  32.47  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.09 32.47   <> Total          $32.47 $32.47,,
AWS CLOUD SERVICES,1,1579.21
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1579.21  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.09 1579.21   <> Total          $1,579.21 $1,579.21",,
AWS CLOUD SERVICES,1,935.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  935.67  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.09 935.67   <> Total          $935.67 $935.67,,
AWS CLOUD SERVICES,1,3173.1
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  3173.10  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.09 3173.10   <> Total          $3,173.10 $3,173.10",,
AWS CLOUD SERVICES,1,258.95
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  258.95  <> 4 69086 402733 SH 03 3270   AWS CLOUD SERVICES 2025.09 258.95   <> Total          $258.95 $258.95,,
AWS CLOUD SERVICES,1,4996.64
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  4996.64  <> 4 19900 727601 AC 03 3270  DBADMN AWS CLOUD SERVICES 2025.09 4996.64   <> Total          $4,996.64 $4,996.64",,
AWS CLOUD SERVICES,1,2260.32
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2260.32  <> 4 62077 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.09 2260.32   <> Total          $2,260.32 $2,260.32",,
AWS CLOUD SERVICES,1,4.08
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  4.08  <> 4 69312 403945 CM 03 3270 AWS RESEAR AWS CLOUD SERVICES 2025.09 4.08   <> Total          $4.08 $4.08,,
AWS CLOUD SERVICES,1,2275.28
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2275.28  <> 4 20107 433630 2C 03 3270  287WEB AWS CLOUD SERVICES 2025.09 2275.28   <> Total          $2,275.28 $2,275.28",,
AWS CLOUD SERVICES,1,0.04
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.04  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.09 0.04   <> Total          $0.04 $0.04,,
AWS CLOUD SERVICES,1,31.21
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  31.21  <> 4 66127 722160  03 3270   AWS CLOUD SERVICES 2025.09 31.21   <> Total          $31.21 $31.21,,
AWS CLOUD SERVICES,1,12.55
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  12.55  <> 4 18797 447711 TL 03 3270   AWS CLOUD SERVICES 2025.09 12.55   <> Total          $12.55 $12.55,,
AWS CLOUD SERVICES,1,4821.84
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  4821.84  <> 4 19900 727601 DP 03 3270  SYSADM AWS CLOUD SERVICES 2025.09 4821.84   <> Total          $4,821.84 $4,821.84",,
AWS CLOUD SERVICES,1,531.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  531.22  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.09 531.22   <> Total          $531.22 $531.22,,
AWS CLOUD SERVICES,1,2.77
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2.77  <> 4 66125 722280  03 3270   AWS CLOUD SERVICES 2025.09 2.77   <> Total          $2.77 $2.77,,
AWS CLOUD SERVICES,1,1474.97
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1474.97  <> 4 17341 441404 AC 03 3270   AWS CLOUD SERVICES 2025.09 1474.97   <> Total          $1,474.97 $1,474.97",,
AWS CLOUD SERVICES,1,114.71
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  114.71  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.09 114.71   <> Total          $114.71 $114.71,,
AWS CLOUD SERVICES,1,81.58
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  81.58  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.09 81.58   <> Total          $81.58 $81.58,,
AWS CLOUD SERVICES,1,140.19
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  140.19  <> 4 62243 401107 2Y 03 3270   AWS CLOUD SERVICES 2025.09 140.19   <> Total          $140.19 $140.19,,
AWS CLOUD SERVICES,1,62.64
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  62.64  <> 4 31039 441490 CS 03 3270   AWS CLOUD SERVICES 2025.09 62.64   <> Total          $62.64 $62.64,,
AWS CLOUD SERVICES,1,224.88
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  224.88  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.09 224.88   <> Total          $224.88 $224.88,,
AWS CLOUD SERVICES,1,1.59
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1.59  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.09 1.59   <> Total          $1.59 $1.59,,
AWS CLOUD SERVICES,1,18.97
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  18.97  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.09 18.97   <> Total          $18.97 $18.97,,
AWS CLOUD SERVICES,1,45.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  45.96  <> 4 18082 403933 2D 03 3270 DSG AWSVHA AWS CLOUD SERVICES 2025.09 45.96   <> Total          $45.96 $45.96,,
AWS CLOUD SERVICES,1,12.11
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  12.11  <> 4 19900 727601 SY 03 3270  MPSUSE AWS CLOUD SERVICES 2025.09 12.11   <> Total          $12.11 $12.11,,
AWS CLOUD SERVICES,1,236.82
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  236.82  <> 4 61070 400915 CS 03 3270 4.8.24 AWS-SE AWS CLOUD SERVICES 2025.09 236.82   <> Total          $236.82 $236.82,,
AWS CLOUD SERVICES,1,185.9
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  185.90  <> 4 18082 403933 2D 03 3270 DSG AWSCPL AWS CLOUD SERVICES 2025.09 185.90   <> Total          $185.90 $185.90,,
AWS CLOUD SERVICES,1,2.31
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2.31  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.09 2.31   <> Total          $2.31 $2.31,,
AWS CLOUD SERVICES,1,1457.77
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1457.77  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.09 1457.77   <> Total          $1,457.77 $1,457.77",,
AWS CLOUD SERVICES,1,32.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  32.37  <> 4 05397 660174  03 3270  ORIS AWS CLOUD SERVICES 2025.09 32.37   <> Total          $32.37 $32.37,,
AWS CLOUD SERVICES,1,0.95
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.95  <> 4 31854 441450 VA 03 3270   AWS CLOUD SERVICES 2025.09 0.95   <> Total          $0.95 $0.95,,
AWS CLOUD SERVICES,1,279.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  279.03  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.09 279.03   <> Total          $279.03 $279.03,,
AWS CLOUD SERVICES,1,2.3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2.30  <> 4 61070 400959 Z2 03 3270  AWS AWS CLOUD SERVICES 2025.09 2.30   <> Total          $2.30 $2.30,,
AWS CLOUD SERVICES,1,472.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  472.60  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.09 472.60   <> Total          $472.60 $472.60,,
AWS CLOUD SERVICES,1,3.31
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  3.31  <> 4 19900 727601 FS 03 3270  HPTRSY AWS CLOUD SERVICES 2025.09 3.31   <> Total          $3.31 $3.31,,
AWS CLOUD SERVICES,1,191.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  191.67  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.09 191.67   <> Total          $191.67 $191.67,,
AWS CLOUD SERVICES,1,108.38
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  108.38  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.09 108.38   <> Total          $108.38 $108.38,,
AWS CLOUD SERVICES,1,8.2
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  8.20  <> 4 66080 727601 M1 03 3270  MFSSCX AWS CLOUD SERVICES 2025.09 8.20   <> Total          $8.20 $8.20,,
AWS CLOUD SERVICES,1,131.75
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  131.75  <> 4 19900 446468 2A 03 3270   AWS CLOUD SERVICES 2025.09 131.75   <> Total          $131.75 $131.75,,
AWS CLOUD SERVICES,1,95.39
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  95.39  <> 4 66080 721275 A2 03 3270  SFORCE AWS CLOUD SERVICES 2025.09 95.39   <> Total          $95.39 $95.39,,
AWS CLOUD SERVICES,1,605.78
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  605.78  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.09 605.78   <> Total          $605.78 $605.78,,
AWS CLOUD SERVICES,1,174.44
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  174.44  <> 4 66080 721271 N5 03 3270   AWS CLOUD SERVICES 2025.09 174.44   <> Total          $174.44 $174.44,,
AWS CLOUD SERVICES,1,235.2
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  235.20  <> 4 61070 400959 N1 03 3270  AWS AWS CLOUD SERVICES 2025.09 235.20   <> Total          $235.20 $235.20,,
AWS CLOUD SERVICES,1,0.17
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.17  <> 4 20107 433630 2C 03 3270  131 AWS CLOUD SERVICES 2025.09 0.17   <> Total          $0.17 $0.17,,
AWS CLOUD SERVICES,1,234.85
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  234.85  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.09 234.85   <> Total          $234.85 $234.85,,
AWS CLOUD SERVICES,1,32.43
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  32.43  <> 4 09549 442521 MD 03 3270   AWS CLOUD SERVICES 2025.09 32.43   <> Total          $32.43 $32.43,,
AWS CLOUD SERVICES,1,1511.72
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1511.72  <> 4 29515 441437 DG 03 3270  AWS AWS CLOUD SERVICES 2025.09 1511.72   <> Total          $1,511.72 $1,511.72",,
AWS CLOUD SERVICES,1,40.38
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  40.38  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.09 40.38   <> Total          $40.38 $40.38,,
AWS CLOUD SERVICES,1,829.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  829.37  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.09 829.37   <> Total          $829.37 $829.37,,
AWS CLOUD SERVICES,1,221.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  221.13  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.09 221.13   <> Total          $221.13 $221.13,,
AWS CLOUD SERVICES,1,1089.83
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1089.83  <> 4 66080 721279 G1 03 3270  SSCORE AWS CLOUD SERVICES 2025.09 1089.83   <> Total          $1,089.83 $1,089.83",,
AWS CLOUD SERVICES,1,104.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  104.22  <> 4 19900 437782  05 3270  AWS AWS CLOUD SERVICES 2025.09 104.22   <> Total          $104.22 $104.22,,
AWS CLOUD SERVICES,1,872.4
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  872.40  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.09 872.40   <> Total          $872.40 $872.40,,
AWS CLOUD SERVICES,1,859.08
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  859.08  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.09 859.08   <> Total          $859.08 $859.08,,
AWS CLOUD SERVICES,1,1192.64
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  1192.64  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.09 1192.64   <> Total          $1,192.64 $1,192.64",,
AWS CLOUD SERVICES,1,3.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  3.13  <> 4 20177 609200 CL 03 3270   AWS CLOUD SERVICES 2025.09 3.13   <> Total          $3.13 $3.13,,
AWS CLOUD SERVICES,1,734.21
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  734.21  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.09 734.21   <> Total          $734.21 $734.21,,
AWS CLOUD SERVICES,1,20.94
