Description of Goods and Services being Recharged,Quantity,Approved Rate
AWS CLOUD SERVICES,1,220.47
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  220.47  <> 4 69086 402733 SH 03 3270   AWS CLOUD SERVICES 2025.05 220.47   <> Total          $220.47 $220.47,,
AWS CLOUD SERVICES,1,3128.49
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3128.49  <> 4 19900 727601 AC 03 3270  DBADMN AWS CLOUD SERVICES 2025.05 3128.49   <> Total          $3,128.49 $3,128.49",,
AWS CLOUD SERVICES,1,2216.94
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2216.94  <> 4 62077 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.05 2216.94   <> Total          $2,216.94 $2,216.94",,
AWS CLOUD SERVICES,1,3.94
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.94  <> 4 69312 403945 CM 03 3270 AWS RESEAR AWS CLOUD SERVICES 2025.05 3.94   <> Total          $3.94 $3.94,,
AWS CLOUD SERVICES,1,2713.98
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2713.98  <> 4 20107 433630 2C 03 3270  287WEB AWS CLOUD SERVICES 2025.05 2713.98   <> Total          $2,713.98 $2,713.98",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.02  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.05 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,26.94
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  26.94  <> 4 18797 447711 TL 03 3270   AWS CLOUD SERVICES 2025.05 26.94   <> Total          $26.94 $26.94,,
AWS CLOUD SERVICES,1,4650.08
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  4650.08  <> 4 19900 727601 DP 03 3270  SYSADM AWS CLOUD SERVICES 2025.05 4650.08   <> Total          $4,650.08 $4,650.08",,
AWS CLOUD SERVICES,1,513.59
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  513.59  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.05 513.59   <> Total          $513.59 $513.59,,
AWS CLOUD SERVICES,1,2.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.67  <> 4 66125 722280  03 3270   AWS CLOUD SERVICES 2025.05 2.67   <> Total          $2.67 $2.67,,
AWS CLOUD SERVICES,1,1093.64
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1093.64  <> 4 17341 441404 AC 03 3270   AWS CLOUD SERVICES 2025.05 1093.64   <> Total          $1,093.64 $1,093.64",,
AWS CLOUD SERVICES,1,112.65
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  112.65  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.05 112.65   <> Total          $112.65 $112.65,,
AWS CLOUD SERVICES,1,78.84
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  78.84  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.05 78.84   <> Total          $78.84 $78.84,,
AWS CLOUD SERVICES,1,129.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  129.51  <> 4 62243 401107 2Y 03 3270   AWS CLOUD SERVICES 2025.05 129.51   <> Total          $129.51 $129.51,,
AWS CLOUD SERVICES,1,62.55
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  62.55  <> 4 31039 441490 CS 03 3270   AWS CLOUD SERVICES 2025.05 62.55   <> Total          $62.55 $62.55,,
AWS CLOUD SERVICES,1,216.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  216.89  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 216.89   <> Total          $216.89 $216.89,,
AWS CLOUD SERVICES,1,1.57
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1.57  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.05 1.57   <> Total          $1.57 $1.57,,
AWS CLOUD SERVICES,1,18.81
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  18.81  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.05 18.81   <> Total          $18.81 $18.81,,
AWS CLOUD SERVICES,1,44.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  44.67  <> 4 18082 403933 2D 03 3270 DSG AWSVHA AWS CLOUD SERVICES 2025.05 44.67   <> Total          $44.67 $44.67,,
AWS CLOUD SERVICES,1,12.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  12.09  <> 4 19900 727601 SY 03 3270  MPSUSE AWS CLOUD SERVICES 2025.05 12.09   <> Total          $12.09 $12.09,,
AWS CLOUD SERVICES,1,228.46
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  228.46  <> 4 61070 400915 CS 03 3270 4.8.24 AWS-SE AWS CLOUD SERVICES 2025.05 228.46   <> Total          $228.46 $228.46,,
AWS CLOUD SERVICES,1,182.46
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  182.46  <> 4 18082 403933 2D 03 3270 DSG AWSCPL AWS CLOUD SERVICES 2025.05 182.46   <> Total          $182.46 $182.46,,
AWS CLOUD SERVICES,1,2.05
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.05  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.05 2.05   <> Total          $2.05 $2.05,,
AWS CLOUD SERVICES,1,1555.65
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1555.65  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.05 1555.65   <> Total          $1,555.65 $1,555.65",,
AWS CLOUD SERVICES,1,109.52
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  109.52  <> 4 69996 660391  03 3270 OPS ORAOPS AWS CLOUD SERVICES 2025.05 109.52   <> Total          $109.52 $109.52,,
AWS CLOUD SERVICES,1,4.78
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  4.78  <> 4 31854 441450 VA 03 3270   AWS CLOUD SERVICES 2025.05 4.78   <> Total          $4.78 $4.78,,
AWS CLOUD SERVICES,1,284.81
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  284.81  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 284.81   <> Total          $284.81 $284.81,,
AWS CLOUD SERVICES,1,2.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.06  <> 4 61070 400959 Z2 03 3270  AWS AWS CLOUD SERVICES 2025.05 2.06   <> Total          $2.06 $2.06,,
AWS CLOUD SERVICES,1,660.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  660.67  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 660.67   <> Total          $660.67 $660.67,,
AWS CLOUD SERVICES,1,2.35
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.35  <> 4 19900 727601 FS 03 3270  HPTRSY AWS CLOUD SERVICES 2025.05 2.35   <> Total          $2.35 $2.35,,
AWS CLOUD SERVICES,1,186.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  186.06  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.05 186.06   <> Total          $186.06 $186.06,,
AWS CLOUD SERVICES,1,81.57
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  81.57  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.05 81.57   <> Total          $81.57 $81.57,,
AWS CLOUD SERVICES,1,9.17
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  9.17  <> 4 66080 727601 M1 03 3270  MFSSCX AWS CLOUD SERVICES 2025.05 9.17   <> Total          $9.17 $9.17,,
AWS CLOUD SERVICES,1,128.32
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  128.32  <> 4 19900 446468 2A 03 3270   AWS CLOUD SERVICES 2025.05 128.32   <> Total          $128.32 $128.32,,
AWS CLOUD SERVICES,1,94
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  94.00  <> 4 66080 721275 A2 03 3270  SFORCE AWS CLOUD SERVICES 2025.05 94.00   <> Total          $94.00 $94.00,,
AWS CLOUD SERVICES,1,586.83
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  586.83  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.05 586.83   <> Total          $586.83 $586.83,,
AWS CLOUD SERVICES,1,172.28
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  172.28  <> 4 66080 721271 N5 03 3270   AWS CLOUD SERVICES 2025.05 172.28   <> Total          $172.28 $172.28,,
AWS CLOUD SERVICES,1,10.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  10.87  <> 4 61070 400959 N1 03 3270  AWS AWS CLOUD SERVICES 2025.05 10.87   <> Total          $10.87 $10.87,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 20107 433630 2C 03 3270  131 AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,250.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  250.87  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.05 250.87   <> Total          $250.87 $250.87,,
AWS CLOUD SERVICES,1,32.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  32.41  <> 4 09549 442521 MD 03 3270   AWS CLOUD SERVICES 2025.05 32.41   <> Total          $32.41 $32.41,,
AWS CLOUD SERVICES,1,1854.23
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1854.23  <> 4 29515 441437 DG 03 3270  AWS AWS CLOUD SERVICES 2025.05 1854.23   <> Total          $1,854.23 $1,854.23",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.02  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.05 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,734.81
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  734.81  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.05 734.81   <> Total          $734.81 $734.81,,
AWS CLOUD SERVICES,1,280.2
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  280.20  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.05 280.20   <> Total          $280.20 $280.20,,
AWS CLOUD SERVICES,1,1475.92
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1475.92  <> 4 66080 721279 G1 03 3270  SSCORE AWS CLOUD SERVICES 2025.05 1475.92   <> Total          $1,475.92 $1,475.92",,
AWS CLOUD SERVICES,1,80.55
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  80.55  <> 4 19900 437782  05 3270  AWS AWS CLOUD SERVICES 2025.05 80.55   <> Total          $80.55 $80.55,,
AWS CLOUD SERVICES,1,851.3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  851.30  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.05 851.30   <> Total          $851.30 $851.30,,
AWS CLOUD SERVICES,1,795.14
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  795.14  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.05 795.14   <> Total          $795.14 $795.14,,
AWS CLOUD SERVICES,1,2.3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.30  <> 4 20177 609200 CL 03 3270   AWS CLOUD SERVICES 2025.05 2.30   <> Total          $2.30 $2.30,,
AWS CLOUD SERVICES,1,702.51
