Description of Goods and Services being Recharged,Quantity,Approved Rate
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  216.36  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.07 216.36   <> Total          $216.36 $216.36,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.01  <> 4 69460 403945 CS 03 3270 AMTURK RESEAR AWS CLOUD SERVICES 2025.07 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,5.28
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  5.28  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.07 5.28   <> Total          $5.28 $5.28,,
AWS CLOUD SERVICES,1,55.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  55.60  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.07 55.60   <> Total          $55.60 $55.60,,
AWS CLOUD SERVICES,1,167.53
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  167.53  <> 4 18082 403933 2D 03 3270 DSG AWSHVC AWS CLOUD SERVICES 2025.07 167.53   <> Total          $167.53 $167.53,,
AWS CLOUD SERVICES,1,759.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  759.22  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.07 759.22   <> Total          $759.22 $759.22,,
AWS CLOUD SERVICES,1,1.75
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1.75  <> 4 18125 446465 4A 03 3270 AWS ITSVCS AWS CLOUD SERVICES 2025.07 1.75   <> Total          $1.75 $1.75,,
AWS CLOUD SERVICES,1,144.68
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  144.68  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.07 144.68   <> Total          $144.68 $144.68,,
AWS CLOUD SERVICES,1,4712.79
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  4712.79  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.07 4712.79   <> Total          $4,712.79 $4,712.79",,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.01  <> 4 85188 442521 SM 03 3270  IOBT AWS CLOUD SERVICES 2025.07 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,572.97
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  572.97  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.07 572.97   <> Total          $572.97 $572.97,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.01  <> 4 70000 760416  03 3270   AWS CLOUD SERVICES 2025.07 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,1001.5
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1001.50  <> 4 19900 605000 DA 03 3270   AWS CLOUD SERVICES 2025.07 1001.50   <> Total          $1,001.50 $1,001.50",,
AWS CLOUD SERVICES,1,31.26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  31.26  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.07 31.26   <> Total          $31.26 $31.26,,
AWS CLOUD SERVICES,1,1581.39
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1581.39  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.07 1581.39   <> Total          $1,581.39 $1,581.39",,
AWS CLOUD SERVICES,1,909.79
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  909.79  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.07 909.79   <> Total          $909.79 $909.79,,
AWS CLOUD SERVICES,1,3016.96
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3016.96  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.07 3016.96   <> Total          $3,016.96 $3,016.96",,
AWS CLOUD SERVICES,1,231.71
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  231.71  <> 4 69086 402733 SH 03 3270   AWS CLOUD SERVICES 2025.07 231.71   <> Total          $231.71 $231.71,,
AWS CLOUD SERVICES,1,4493.49
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  4493.49  <> 4 19900 727601 AC 03 3270  DBADMN AWS CLOUD SERVICES 2025.07 4493.49   <> Total          $4,493.49 $4,493.49",,
AWS CLOUD SERVICES,1,2215.78
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2215.78  <> 4 62077 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.07 2215.78   <> Total          $2,215.78 $2,215.78",,
AWS CLOUD SERVICES,1,3.94
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3.94  <> 4 69312 403945 CM 03 3270 AWS RESEAR AWS CLOUD SERVICES 2025.07 3.94   <> Total          $3.94 $3.94,,
AWS CLOUD SERVICES,1,2715.02
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2715.02  <> 4 20107 433630 2C 03 3270  287WEB AWS CLOUD SERVICES 2025.07 2715.02   <> Total          $2,715.02 $2,715.02",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.02  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.07 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,12.53
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  12.53  <> 4 18797 447711 TL 03 3270   AWS CLOUD SERVICES 2025.07 12.53   <> Total          $12.53 $12.53,,
AWS CLOUD SERVICES,1,4744.38
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  4744.38  <> 4 19900 727601 DP 03 3270  SYSADM AWS CLOUD SERVICES 2025.07 4744.38   <> Total          $4,744.38 $4,744.38",,
AWS CLOUD SERVICES,1,513.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  513.69  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.07 513.69   <> Total          $513.69 $513.69,,
AWS CLOUD SERVICES,1,2.61
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.61  <> 4 66125 722280  03 3270   AWS CLOUD SERVICES 2025.07 2.61   <> Total          $2.61 $2.61,,
AWS CLOUD SERVICES,1,1622.06
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1622.06  <> 4 17341 441404 AC 03 3270   AWS CLOUD SERVICES 2025.07 1622.06   <> Total          $1,622.06 $1,622.06",,
AWS CLOUD SERVICES,1,112.91
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  112.91  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.07 112.91   <> Total          $112.91 $112.91,,
AWS CLOUD SERVICES,1,78.83
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  78.83  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.07 78.83   <> Total          $78.83 $78.83,,
AWS CLOUD SERVICES,1,129.52
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  129.52  <> 4 62243 401107 2Y 03 3270   AWS CLOUD SERVICES 2025.07 129.52   <> Total          $129.52 $129.52,,
AWS CLOUD SERVICES,1,62.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  62.60  <> 4 31039 441490 CS 03 3270   AWS CLOUD SERVICES 2025.07 62.60   <> Total          $62.60 $62.60,,
AWS CLOUD SERVICES,1,217.21
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  217.21  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.07 217.21   <> Total          $217.21 $217.21,,
AWS CLOUD SERVICES,1,1.57
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1.57  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.07 1.57   <> Total          $1.57 $1.57,,
AWS CLOUD SERVICES,1,18.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  18.89  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.07 18.89   <> Total          $18.89 $18.89,,
AWS CLOUD SERVICES,1,44.74
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  44.74  <> 4 18082 403933 2D 03 3270 DSG AWSVHA AWS CLOUD SERVICES 2025.07 44.74   <> Total          $44.74 $44.74,,
AWS CLOUD SERVICES,1,12.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  12.10  <> 4 19900 727601 SY 03 3270  MPSUSE AWS CLOUD SERVICES 2025.07 12.10   <> Total          $12.10 $12.10,,
AWS CLOUD SERVICES,1,228.76
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  228.76  <> 4 61070 400915 CS 03 3270 4.8.24 AWS-SE AWS CLOUD SERVICES 2025.07 228.76   <> Total          $228.76 $228.76,,
AWS CLOUD SERVICES,1,182.47
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  182.47  <> 4 18082 403933 2D 03 3270 DSG AWSCPL AWS CLOUD SERVICES 2025.07 182.47   <> Total          $182.47 $182.47,,
AWS CLOUD SERVICES,1,2.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.09  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.07 2.09   <> Total          $2.09 $2.09,,
AWS CLOUD SERVICES,1,1365.55
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1365.55  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.07 1365.55   <> Total          $1,365.55 $1,365.55",,
AWS CLOUD SERVICES,1,101.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  101.18  <> 4 05397 660174  03 3270  ORIS AWS CLOUD SERVICES 2025.07 101.18   <> Total          $101.18 $101.18,,
AWS CLOUD SERVICES,1,3.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3.37  <> 4 31854 441450 VA 03 3270   AWS CLOUD SERVICES 2025.07 3.37   <> Total          $3.37 $3.37,,
AWS CLOUD SERVICES,1,278.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  278.18  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.07 278.18   <> Total          $278.18 $278.18,,
AWS CLOUD SERVICES,1,2.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.10  <> 4 61070 400959 Z2 03 3270  AWS AWS CLOUD SERVICES 2025.07 2.10   <> Total          $2.10 $2.10,,
AWS CLOUD SERVICES,1,461.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  461.03  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.07 461.03   <> Total          $461.03 $461.03,,
AWS CLOUD SERVICES,1,3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3.00  <> 4 19900 727601 FS 03 3270  HPTRSY AWS CLOUD SERVICES 2025.07 3.00   <> Total          $3.00 $3.00,,
AWS CLOUD SERVICES,1,186.26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  186.26  <> 4 19900 727601 US 03 3270  FAOPUS AWS CLOUD SERVICES 2025.07 186.26   <> Total          $186.26 $186.26,,
AWS CLOUD SERVICES,1,95.07
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  95.07  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.07 95.07   <> Total          $95.07 $95.07,,
AWS CLOUD SERVICES,1,9.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  9.18  <> 4 66080 727601 M1 03 3270  MFSSCX AWS CLOUD SERVICES 2025.07 9.18   <> Total          $9.18 $9.18,,
AWS CLOUD SERVICES,1,129.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  129.02  <> 4 19900 446468 2A 03 3270   AWS CLOUD SERVICES 2025.07 129.02   <> Total          $129.02 $129.02,,
AWS CLOUD SERVICES,1,92.35
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  92.35  <> 4 66080 721275 A2 03 3270  SFORCE AWS CLOUD SERVICES 2025.07 92.35   <> Total          $92.35 $92.35,,
AWS CLOUD SERVICES,1,584.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  584.23  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.07 584.23   <> Total          $584.23 $584.23,,
AWS CLOUD SERVICES,1,173.47
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  173.47  <> 4 66080 721271 N5 03 3270   AWS CLOUD SERVICES 2025.07 173.47   <> Total          $173.47 $173.47,,
AWS CLOUD SERVICES,1,10.94
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  10.94  <> 4 61070 400959 N1 03 3270  AWS AWS CLOUD SERVICES 2025.07 10.94   <> Total          $10.94 $10.94,,
AWS CLOUD SERVICES,1,0.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.09  <> 4 20107 433630 2C 03 3270  131 AWS CLOUD SERVICES 2025.07 0.09   <> Total          $0.09 $0.09,,
AWS CLOUD SERVICES,1,230.35
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  230.35  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.07 230.35   <> Total          $230.35 $230.35,,
AWS CLOUD SERVICES,1,32.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  32.41  <> 4 09549 442521 MD 03 3270   AWS CLOUD SERVICES 2025.07 32.41   <> Total          $32.41 $32.41,,
AWS CLOUD SERVICES,1,1953.29
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1953.29  <> 4 29515 441437 DG 03 3270  AWS AWS CLOUD SERVICES 2025.07 1953.29   <> Total          $1,953.29 $1,953.29",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.02  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.07 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,822.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  822.37  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.07 822.37   <> Total          $822.37 $822.37,,
AWS CLOUD SERVICES,1,217.76
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  217.76  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.07 217.76   <> Total          $217.76 $217.76,,
AWS CLOUD SERVICES,1,1020.79
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  1020.79  <> 4 66080 721279 G1 03 3270  SSCORE AWS CLOUD SERVICES 2025.07 1020.79   <> Total          $1,020.79 $1,020.79",,
AWS CLOUD SERVICES,1,113.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  113.18  <> 4 19900 437782  05 3270  AWS AWS CLOUD SERVICES 2025.07 113.18   <> Total          $113.18 $113.18,,
AWS CLOUD SERVICES,1,846.29
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  846.29  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.07 846.29   <> Total          $846.29 $846.29,,
AWS CLOUD SERVICES,1,802.35
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  802.35  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.07 802.35   <> Total          $802.35 $802.35,,
AWS CLOUD SERVICES,1,2.79
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.79  <> 4 20177 609200 CL 03 3270   AWS CLOUD SERVICES 2025.07 2.79   <> Total          $2.79 $2.79,,
AWS CLOUD SERVICES,1,712.8
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  712.80  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.07 712.80   <> Total          $712.80 $712.80,,
AWS CLOUD SERVICES,1,20.36
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  20.36  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.07 20.36   <> Total          $20.36 $20.36,,
AWS CLOUD SERVICES,1,5924.95
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  5924.95  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.07 5924.95   <> Total          $5,924.95 $5,924.95",,
AWS CLOUD SERVICES,1,3932.31
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3932.31  <> 4 27055 621588 UD 03 3270   AWS CLOUD SERVICES 2025.07 3932.31   <> Total          $3,932.31 $3,932.31",,
AWS CLOUD SERVICES,1,3.16
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3.16  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.07 3.16   <> Total          $3.16 $3.16,,
AWS CLOUD SERVICES,1,3120.85
