crosswalk_version	standardized_department	organizational_parent	parent_type	mapping_status	source_url
2.0.0	National Environmental Satellite, Data, and Information Service 	External organization	external	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Neurobiology	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Office of Health Informatics and Analytics	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Office of Research Information Systems	Research and technology administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Office of the Vice Chancellor for Research	Research and technology administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Philosophy	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Population Health	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Ralph J. Bunche Center for African American Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	School of Education & Information Studies 	School of Education and Information Studies	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	School of Education and Information Studies	School of Education and Information Studies	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	School of Medicine	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Slavic, East European, and Eurasian Languages and Cultures	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Social Sciences	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	UCLA Extension	UCLA Extension	extension	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Undergraduate Education	UCLA College — Undergraduate Education	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Multiple Departments			unresolved	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Forestry			unresolved	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Institute of American Cultures			unresolved	https://catalog.registrar.ucla.edu/About-UCLA
